Id,price,floor,floorTotal,metroDistance,area,rooms,distanceToCentre
0,340674400,2,6,14,249.0,4,1.822743564317096
1,193255296,5,7,13,200.0,4,1.9235331371014266
2,433585600,3,6,11,277.0,5,1.6345993621524115
3,5333160,15,17,136,54.4,2,26.80907489065547
4,3789790,17,17,120,39.1,1,26.80907489065547
5,136466112,8,10,16,143.0,3,2.154150759216303
6,123881600,2,10,16,138.0,4,2.154150759216303
7,61940800,23,35,16,137.0,3,10.910758198081759
8,1250000,12,17,320,25.7,1,49.780351027568464
10,152622131,32,37,16,352.0,3,14.224087334585509
11,4000000,8,9,480,67.0,3,101.70698071064761
12,134042988,3,8,15,206.0,5,2.2876549211361508
13,185822400,4,7,10,211.0,4,1.8407275070888476
14,464556000,5,6,48,450.0,5,13.128492767722163
15,92911200,5,6,8,207.0,4,1.075934947409057
16,123881600,6,8,5,211.0,5,1.8984495611750498
17,89000000,3,5,13,225.0,5,3.5980061694231136
18,2800000,8,14,160,39.6,1,31.49876085402101
19,136269760,5,8,4,176.0,5,1.2928320194496208
20,50000000,16,19,15,128.0,3,5.841122881895053
21,36000000,2,6,5,70.0,2,1.7530520411589612
22,173434240,3,8,10,231.0,4,1.7034441302904997
23,2350000,8,18,40,26.6,1,16.417933579670702
24,29500000,14,23,28,80.0,2,12.215378399061624
25,2097860,4,9,320,36.2,1,36.19495474707211
26,2300000,3,17,232,40.0,1,31.445149307105858
28,4186525,2,17,240,51.0,1,31.317126339077582
30,2751320,2,9,320,48.1,1,31.573793982750267
31,3426200,7,9,320,46.3,1,31.573793982750267
32,59000000,5,17,5,117.0,3,3.9099732623335166
33,2450000,17,17,200,36.0,1,31.548610970765836
34,59900000,12,19,56,190.0,5,8.427566937903736
35,3450000,3,17,248,64.0,2,31.445149307105858
36,42000000,3,6,10,85.0,3,1.9224008340210177
38,160079804,4,10,7,198.8,5,2.8426642232851767
39,3281900,16,19,240,39.9,1,22.43286879832837
40,3694680,3,12,320,62.2,2,31.530534337651748
41,2521080,2,12,320,44.7,1,31.530534337651748
42,3020976,9,9,320,48.6,1,31.573793982750267
43,2449999,6,19,240,25.5,1,22.43286879832837
44,3624000,4,9,56,16.9,1,15.083830948623705
45,79556764,3,3,3,142.2,3,1.093222410180261
46,54900000,2,13,5,136.0,4,2.5146693916215086
47,49100000,5,13,5,123.0,3,2.5146693916215086
48,26500000,2,13,5,66.4,1,2.5146693916215086
49,25900000,2,13,5,64.9,2,2.5146693916215086
50,19900000,10,13,10,76.6,2,8.015262215229212
51,2155000,10,15,320,35.0,1,42.93765646215423
52,2778528,1,17,320,56.2,2,42.86162740168738
53,4193748,2,12,416,78.3,3,42.86162740168738
54,4790953,3,20,80,31.4,1,15.207890559371672
55,309704000,61,62,4,250.0,5,4.91943191412417
56,4155000,2,4,144,51.3,2,22.574645141573075
57,14000000,3,6,7,38.0,1,2.2655532304437394
58,41000000,2,3,11,64.0,2,1.9676367525747251
59,2700000,3,4,320,60.0,3,39.382724791893864
60,185822400,10,15,10,321.0,5,7.035393116245805
61,61011688,2,8,5,121.0,2,2.391859086945467
62,142463840,3,8,7,166.0,3,1.9443911785200194
63,185822400,11,11,6,134.0,3,1.4251773406425754
64,19900000,3,8,5,53.0,2,1.5506092956929556
65,2715300,4,17,320,43.1,1,31.700943042503635
66,2992500,11,17,320,45.0,1,31.700943042503635
67,2775220,16,17,320,46.1,1,31.812373308904988
68,2767065,8,17,320,39.9,1,31.733198184378203
69,2763180,11,17,320,45.9,1,31.733198184378203
70,2891700,14,17,320,45.9,1,31.846231987481747
71,3860000,4,5,160,35.0,1,22.574645141573075
72,3350000,2,4,120,30.0,1,22.574645141573075
73,2350000,15,22,240,36.0,1,32.25304946121704
74,24500000,3,23,6,159.0,4,16.63168605320278
75,24950000,3,12,5,60.0,1,2.5146693916215086
76,1300000,1,2,240,43.0,2,55.557982024419346
77,62757000,6,6,7,110.1,3,1.8288248711820698
78,41580000,2,10,10,126.0,3,4.160510452732482
81,145870584,2,6,10,157.0,4,6.543832034140544
83,68134880,11,22,80,164.0,4,8.427566937903736
84,150059021,5,5,8,187.8,4,1.9235331371014266
85,4350000,17,17,200,37.0,1,30.845232001901746
86,2500000,16,17,160,42.0,1,34.34504187535691
87,3500000,5,15,160,61.0,2,34.34504187535691
89,115209888,5,9,3,155.0,4,2.3831753357499177
90,12850000,4,23,6,70.0,1,16.63168605320278
91,16900000,5,9,5,70.0,2,4.412728102917884
92,3200000,8,9,120,56.4,1,20.87474498084343
93,9550000,7,9,8,54.0,3,5.2519271770934
94,5000000,3,17,200,52.0,2,30.176210911455918
95,4000000,4,21,120,40.0,1,25.33742830034497
96,237400000,2,14,7,377.0,5,3.870644446122673
97,117687520,5,8,7,127.0,3,1.963872545262277
98,114590480,3,4,5,193.0,5,1.5078257096636203
99,2999000,4,5,5,16.0,1,7.909237723912427
100,1900000,2,9,12,59.0,3,16.912390270055624
101,153671490,5,12,4,106.0,3,3.6882504311905713
102,247763200,11,11,12,225.0,4,3.3952098957595465
103,98000000,4,6,11,144.0,4,2.5134472001072
104,111431499,4,10,5,144.0,3,1.4453100611903866
105,111431499,4,10,5,144.0,4,1.4453100611903866
106,4400000,6,7,160,86.0,3,50.91136896894634
107,2700000,5,5,160,35.0,1,28.978015707827694
108,2750000,2,9,720,110.0,3,110.03221465151104
109,47000000,3,14,15,108.7,3,4.532699696747812
110,3500000,2,4,120,33.9,1,24.235787804288965
111,247763200,1,8,6,208.0,4,2.1006728843536604
112,20900000,3,13,5,59.8,1,2.5146693916215086
114,90000000,11,11,11,210.0,5,5.343070058852346
115,10500000,6,16,2,70.0,3,14.104324748777996
116,93385047,4,10,4,131.1,4,3.226282479232766
117,165939403,2,8,12,267.9,5,5.239962421871674
118,59000000,2,12,4,135.9,4,2.4782876546792374
119,52000000,3,8,32,125.0,5,8.876508068470736
